id,date,retweets,source,author,likes,text,twitter_name,location,verified,followers,friends,polarity,subjectivity,1st review,2nd review,sympathy?,"Hidden * change to 'hide' to hide verdict, helpful to avoid biases while reviewing"
2184934963,2020-12-22 23:22:20,71,Twitter Web App,GO GREEN,91,The death of summer Arctic ice our Earth cooler is now just a few years away if not sooner triggering a world wide climate planet break down supercharging global warming leaving much of the planet hostile to life abrupt climate change is only a matter of timeEnd fossil fuel,ECOWARRIORSS,,FALSE,23415,20439,-0.05436507937,0.426984127,news,pro,pro,
508658626,2020-12-10 14:30:00,14,Twitter for Advertisers,Elsevier Energy,98,Elsevier and the EditorsinChief are pleased to share the first volume of Energy and Climate Change now available on ScienceDirect Get FREE ACCESS until 1 June 2021,ElsevierEnergy,"Oxford, England",FALSE,6615,508,0.3875,0.6333333333,news,news,news,*remove the cell above when 3rd reviewer time
2607105006,2020-12-22 21:28:52,0,Twitter Web App,Arwyn Thomas,1,From better climate change education to improved sustainability heres what 2020 got right about environmental justice and global warming climate change environment hometopstory,siwarr5,Carmarthen,FALSE,22,133,0.2619047619,0.3452380952,news,neutral,neutral,
19609660,2020-12-22 21:24:10,0,Twitter Web App,"Tom Gillispie, EDITOR/WRITER",0,climate change Links to FIXING CLIMATE CHANGE climatechange CO2 global warming,EDITORatWORK,"Rural Hall, North Carolina, USA",FALSE,4191,3708,0,0,news,neutral,news,
19609660,2020-12-21 22:52:09,1,Twitter Web App,"Tom Gillispie, EDITOR/WRITER",1,climate change The 11TH HOUR FOR THE EARTH climatechange global warming GlobalWarming,EDITORatWORK,"Rural Hall, North Carolina, USA",FALSE,4191,3708,0,0,anti,pro,pro,
18210270,2020-12-21 15:45:12,0,Hootsuite Inc.,MapsofWorld,0,For years now scientists and governments have discussed and debated the effects of climate change and global warming Very little has been doneHave a look at Climate Change over the Centuryenvironment climate Change,mapsofworld,"San Jose, US",FALSE,5292,130,-0.121875,0.325,news,news,news,
380346763,2020-12-21 13:00:46,0,Hootsuite Inc.,EHN,1,The growing impacts of climate change have already pushed more than 18 million people to migrate within South Asian countries but that could more than triple if global warming continues on its current path researchers have warned Reuters,EnvirHealthNews,"Charlottesville, VA",FALSE,10248,2466,0.2,0.28,news,news,news,
154266844,2020-12-20 19:28:17,0,Twitter Web App,"Tom Gillispie, WRITER/EDITOR",0,deserts forests TURNING DESERTS INTO FORESTS climate change CO2 global warming,SptsGuy1,"Rural Hall, NC",FALSE,2281,2155,0,0,news,neutral,neutral,
610076827,2020-12-20 13:21:46,6,Twitter for iPhone,Chris Fox,8,The Federal Reserve on Tuesday took its most significant step forward on climate change announcing that it joined a group of some 75 other central banks focused on rooting out the risk warming poses to the global financial system via grist,ChristopherNFox,"Boston, MA",FALSE,18451,15267,0.125,0.3333333333,news,news,news,
1158881157473157120,2020-12-18 20:17:41,1,Twitter Web App,"Greg Byrne, NL_Expatriate",1,cravecreative johnjakester Ordinary men should be required reading for all humans in positions of powerTHALIDOMIDECovid amp CO2 are lies built on inconvenient truthsBaby BOOMER Bust due to SEASONAL flu amp old ageMilankovitch cycles cause Climate ChangeObliquity is causing Global Warming,ExpatriateNl,Earth,FALSE,1331,3829,-0.175,0.415,anti,anti,anti,
1158881157473157120,2020-12-18 20:16:12,0,Twitter Web App,"Greg Byrne, NL_Expatriate",0,THALIDOMIDECovid amp CO2 are lies built on inconvenient truthsBaby BOOMER Bust due to SEASONAL flu amp old ageMilankovitch cycles cause Climate ChangeObliquity is causing Global WarmingPrecession Will cause Global Tsunamis at vernal equinoxesWwG1WgA Humanity,ExpatriateNl,Earth,FALSE,1331,3829,-0.125,0.315,anti,anti,anti,
893214340182048769,2020-12-18 12:56:07,0,Twitter for iPhone,Alex Morrison M.S. will get vaccinated,0,Global warming is likely to cause global atmospheric circulation to change and progressively revert to a situation similar to that of 5000 to 10000 years agoClimateChange Climate ClimateAction,AlexMorrisonWX,"Moline, Il",FALSE,341,920,0,0.28,news,news,news,
95418595,2020-12-18 12:00:33,0,Hootsuite Inc.,Daily Climate,0,Planetwarming carbon dioxide emissions from buildings and construction are jeopardising global goals to keep devastating climate change at bay Reuters,TheDailyClimate,"Bozeman, Mont.",FALSE,17704,1370,-0.5,0.5,news,news,news,
15534684,2020-12-17 4:18:41,0,Twitter for Android,Eric Mack,0,Warming oceans contribute to storms that could drop 5 feet of snow on some towns in Japan this week This isnt just the kind of global weirding that defines 2020 its the change of climate systems that will redefine how we live in decades to come ClimateAction climate,EricCMack,New Mexico,FALSE,7094,2114,0.2454545455,0.4666666667,news,pro,pro,
19609660,2020-12-16 22:46:27,0,Twitter Web App,"Tom Gillispie, EDITOR/WRITER",1,climate change NEW links to FIXING CLIMATE CHANGE climatechange CO2 global warming cutting emissions,EDITORatWORK,"Rural Hall, North Carolina, USA",FALSE,4191,3708,-0.1545454545,0.4515151515,news,news,news,
1158881157473157120,2020-12-16 20:24:38,0,Twitter Web App,"Greg Byrne, NL_Expatriate",4,globeandmail I wonder whyThe media and our govts are lying to usThe Milankovitch cycles cause climate change Global warming and global tsunamis at the vernal equinoxesCovid is the Baby Boomer Bust due to the seasonal FLU and old age,ExpatriateNl,Earth,FALSE,1331,3829,-0.00625,0.14375,anti,anti,anti,"it has hoax, lyin keywords"
